,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/2/9,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.1826
2015/2/9,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.146
2015/2/9,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.1225
2015/2/9,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.0942
2015/2/9,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0617
2015/2/9,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.0777
2015/2/9,50ETF沽2015年3月2.30,认沽,2.3,2015/3/25 0:00,0.0969
2015/2/9,50ETF沽2015年3月2.35,认沽,2.35,2015/3/25 0:00,0.1268
2015/2/9,50ETF沽2015年3月2.40,认沽,2.4,2015/3/25 0:00,0.1542
2015/2/9,50ETF购2015年4月2.20,认购,2.2,2015/4/22 0:00,0.21
2015/2/9,50ETF购2015年4月2.25,认购,2.25,2015/4/22 0:00,0.1785
2015/2/9,50ETF购2015年4月2.30,认购,2.3,2015/4/22 0:00,0.1466
2015/2/9,50ETF购2015年4月2.35,认购,2.35,2015/4/22 0:00,0.1261
2015/2/9,50ETF购2015年4月2.40,认购,2.4,2015/4/22 0:00,0.1008
2015/2/9,50ETF沽2015年4月2.20,认沽,2.2,2015/4/22 0:00,0.088
2015/2/9,50ETF沽2015年4月2.25,认沽,2.25,2015/4/22 0:00,0.1111
2015/2/9,50ETF沽2015年4月2.30,认沽,2.3,2015/4/22 0:00,0.1327
2015/2/9,50ETF沽2015年4月2.35,认沽,2.35,2015/4/22 0:00,0.1614
2015/2/9,50ETF沽2015年4月2.40,认沽,2.4,2015/4/22 0:00,0.1903
2015/2/9,50ETF购2015年6月2.20,认购,2.2,2015/6/24 0:00,0.2662
2015/2/9,50ETF购2015年6月2.25,认购,2.25,2015/6/24 0:00,0.2366
2015/2/9,50ETF购2015年6月2.30,认购,2.3,2015/6/24 0:00,0.2105
2015/2/9,50ETF购2015年6月2.35,认购,2.35,2015/6/24 0:00,0.187
2015/2/9,50ETF购2015年6月2.40,认购,2.4,2015/6/24 0:00,0.1652
2015/2/9,50ETF沽2015年6月2.20,认沽,2.2,2015/6/24 0:00,0.1379
2015/2/9,50ETF沽2015年6月2.25,认沽,2.25,2015/6/24 0:00,0.1631
2015/2/9,50ETF沽2015年6月2.30,认沽,2.3,2015/6/24 0:00,0.1882
2015/2/9,50ETF沽2015年6月2.35,认沽,2.35,2015/6/24 0:00,0.2055
2015/2/9,50ETF沽2015年6月2.40,认沽,2.4,2015/6/24 0:00,0.2329
2015/2/9,50ETF购2015年9月2.20,认购,2.2,2015/9/23 0:00,0.313
2015/2/9,50ETF购2015年9月2.25,认购,2.25,2015/9/23 0:00,0.2787
2015/2/9,50ETF购2015年9月2.30,认购,2.3,2015/9/23 0:00,0.2583
2015/2/9,50ETF购2015年9月2.35,认购,2.35,2015/9/23 0:00,0.2326
2015/2/9,50ETF购2015年9月2.40,认购,2.4,2015/9/23 0:00,0.2116
2015/2/9,50ETF沽2015年9月2.20,认沽,2.2,2015/9/23 0:00,0.1795
2015/2/9,50ETF沽2015年9月2.25,认沽,2.25,2015/9/23 0:00,0.2116
2015/2/9,50ETF沽2015年9月2.30,认沽,2.3,2015/9/23 0:00,0.2361
2015/2/9,50ETF沽2015年9月2.35,认沽,2.35,2015/9/23 0:00,0.2549
2015/2/9,50ETF沽2015年9月2.40,认沽,2.4,2015/9/23 0:00,0.2935
2015/2/9,50ETF购2015年3月2.40,认购,2.4,2015/3/25 0:00,0.0735
2015/2/10,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.2072
2015/2/10,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.1659
2015/2/10,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.1367
2015/2/10,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.1055
2015/2/10,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0451
2015/2/10,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.0578
2015/2/10,50ETF沽2015年3月2.30,认沽,2.3,2015/3/25 0:00,0.0757
2015/2/10,50ETF沽2015年3月2.35,认沽,2.35,2015/3/25 0:00,0.0975
2015/2/10,50ETF沽2015年3月2.40,认沽,2.4,2015/3/25 0:00,0.126
2015/2/10,50ETF购2015年4月2.20,认购,2.2,2015/4/22 0:00,0.224
2015/2/10,50ETF购2015年4月2.25,认购,2.25,2015/4/22 0:00,0.1897
2015/2/10,50ETF购2015年4月2.30,认购,2.3,2015/4/22 0:00,0.1604
2015/2/10,50ETF购2015年4月2.35,认购,2.35,2015/4/22 0:00,0.1346
2015/2/10,50ETF购2015年4月2.40,认购,2.4,2015/4/22 0:00,0.1095
2015/2/10,50ETF沽2015年4月2.20,认沽,2.2,2015/4/22 0:00,0.0645
2015/2/10,50ETF沽2015年4月2.25,认沽,2.25,2015/4/22 0:00,0.0829
2015/2/10,50ETF沽2015年4月2.30,认沽,2.3,2015/4/22 0:00,0.102
2015/2/10,50ETF沽2015年4月2.35,认沽,2.35,2015/4/22 0:00,0.127
2015/2/10,50ETF沽2015年4月2.40,认沽,2.4,2015/4/22 0:00,0.1528
2015/2/10,50ETF购2015年6月2.20,认购,2.2,2015/6/24 0:00,0.2751
2015/2/10,50ETF购2015年6月2.25,认购,2.25,2015/6/24 0:00,0.2446
2015/2/10,50ETF购2015年6月2.30,认购,2.3,2015/6/24 0:00,0.2165
2015/2/10,50ETF购2015年6月2.35,认购,2.35,2015/6/24 0:00,0.1905
2015/2/10,50ETF购2015年6月2.40,认购,2.4,2015/6/24 0:00,0.1688
2015/2/10,50ETF沽2015年6月2.20,认沽,2.2,2015/6/24 0:00,0.1076
2015/2/10,50ETF沽2015年6月2.25,认沽,2.25,2015/6/24 0:00,0.1282
2015/2/10,50ETF沽2015年6月2.30,认沽,2.3,2015/6/24 0:00,0.1518
2015/2/10,50ETF沽2015年6月2.35,认沽,2.35,2015/6/24 0:00,0.1728
2015/2/10,50ETF沽2015年6月2.40,认沽,2.4,2015/6/24 0:00,0.1996
2015/2/10,50ETF购2015年9月2.20,认购,2.2,2015/9/23 0:00,0.3325
2015/2/10,50ETF购2015年9月2.25,认购,2.25,2015/9/23 0:00,0.304
2015/2/10,50ETF购2015年9月2.30,认购,2.3,2015/9/23 0:00,0.277
2015/2/10,50ETF购2015年9月2.35,认购,2.35,2015/9/23 0:00,0.254
2015/2/10,50ETF购2015年9月2.40,认购,2.4,2015/9/23 0:00,0.2283
2015/2/10,50ETF沽2015年9月2.20,认沽,2.2,2015/9/23 0:00,0.1542
2015/2/10,50ETF沽2015年9月2.25,认沽,2.25,2015/9/23 0:00,0.1759
2015/2/10,50ETF沽2015年9月2.30,认沽,2.3,2015/9/23 0:00,0.198
2015/2/10,50ETF沽2015年9月2.35,认沽,2.35,2015/9/23 0:00,0.2212
2015/2/10,50ETF沽2015年9月2.40,认沽,2.4,2015/9/23 0:00,0.2503
2015/2/10,50ETF购2015年3月2.45,认购,2.45,2015/3/25 0:00,0.0622
2015/2/10,50ETF沽2015年3月2.45,认沽,2.45,2015/3/25 0:00,0.154
2015/2/10,50ETF购2015年4月2.45,认购,2.45,2015/4/22 0:00,0.0898
2015/2/10,50ETF沽2015年4月2.45,认沽,2.45,2015/4/22 0:00,0.1836
2015/2/10,50ETF购2015年6月2.45,认购,2.45,2015/6/24 0:00,0.1441
2015/2/10,50ETF沽2015年6月2.45,认沽,2.45,2015/6/24 0:00,0.2283
2015/2/10,50ETF购2015年9月2.45,认购,2.45,2015/9/23 0:00,0.2063
2015/2/10,50ETF沽2015年9月2.45,认沽,2.45,2015/9/23 0:00,0.279
2015/2/10,50ETF购2015年3月2.40,认购,2.4,2015/3/25 0:00,0.0855
2015/2/11,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.2107
2015/2/11,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.1702
2015/2/11,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.1363
2015/2/11,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.105
2015/2/11,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0321
2015/2/11,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.0425
2015/2/11,50ETF沽2015年3月2.30,认沽,2.3,2015/3/25 0:00,0.0564
2015/2/11,50ETF沽2015年3月2.35,认沽,2.35,2015/3/25 0:00,0.0752
2015/2/11,50ETF沽2015年3月2.40,认沽,2.4,2015/3/25 0:00,0.0992
2015/2/11,50ETF购2015年4月2.20,认购,2.2,2015/4/22 0:00,0.2274
2015/2/11,50ETF购2015年4月2.25,认购,2.25,2015/4/22 0:00,0.1887
2015/2/11,50ETF购2015年4月2.30,认购,2.3,2015/4/22 0:00,0.1577
2015/2/11,50ETF购2015年4月2.35,认购,2.35,2015/4/22 0:00,0.1293
2015/2/11,50ETF购2015年4月2.40,认购,2.4,2015/4/22 0:00,0.1058
2015/2/11,50ETF沽2015年4月2.20,认沽,2.2,2015/4/22 0:00,0.046
2015/2/11,50ETF沽2015年4月2.25,认沽,2.25,2015/4/22 0:00,0.0598
2015/2/11,50ETF沽2015年4月2.30,认沽,2.3,2015/4/22 0:00,0.0776
2015/2/11,50ETF沽2015年4月2.35,认沽,2.35,2015/4/22 0:00,0.0996
2015/2/11,50ETF沽2015年4月2.40,认沽,2.4,2015/4/22 0:00,0.1245
2015/2/11,50ETF购2015年6月2.20,认购,2.2,2015/6/24 0:00,0.2643
2015/2/11,50ETF购2015年6月2.25,认购,2.25,2015/6/24 0:00,0.2323
2015/2/11,50ETF购2015年6月2.30,认购,2.3,2015/6/24 0:00,0.2052
2015/2/11,50ETF购2015年6月2.35,认购,2.35,2015/6/24 0:00,0.1798
2015/2/11,50ETF购2015年6月2.40,认购,2.4,2015/6/24 0:00,0.1591
2015/2/11,50ETF沽2015年6月2.20,认沽,2.2,2015/6/24 0:00,0.084
2015/2/11,50ETF沽2015年6月2.25,认沽,2.25,2015/6/24 0:00,0.1019
2015/2/11,50ETF沽2015年6月2.30,认沽,2.3,2015/6/24 0:00,0.1226
2015/2/11,50ETF沽2015年6月2.35,认沽,2.35,2015/6/24 0:00,0.145
2015/2/11,50ETF沽2015年6月2.40,认沽,2.4,2015/6/24 0:00,0.1706
2015/2/11,50ETF购2015年9月2.20,认购,2.2,2015/9/23 0:00,0.321
2015/2/11,50ETF购2015年9月2.25,认购,2.25,2015/9/23 0:00,0.2894
2015/2/11,50ETF购2015年9月2.30,认购,2.3,2015/9/23 0:00,0.2614
2015/2/11,50ETF购2015年9月2.35,认购,2.35,2015/9/23 0:00,0.2355
2015/2/11,50ETF购2015年9月2.40,认购,2.4,2015/9/23 0:00,0.2117
2015/2/11,50ETF沽2015年9月2.20,认沽,2.2,2015/9/23 0:00,0.1245
2015/2/11,50ETF沽2015年9月2.25,认沽,2.25,2015/9/23 0:00,0.1443
2015/2/11,50ETF沽2015年9月2.30,认沽,2.3,2015/9/23 0:00,0.1649
2015/2/11,50ETF沽2015年9月2.35,认沽,2.35,2015/9/23 0:00,0.1882
2015/2/11,50ETF沽2015年9月2.40,认沽,2.4,2015/9/23 0:00,0.2159
2015/2/11,50ETF购2015年3月2.45,认购,2.45,2015/3/25 0:00,0.0591
2015/2/11,50ETF沽2015年3月2.45,认沽,2.45,2015/3/25 0:00,0.1297
2015/2/11,50ETF购2015年4月2.45,认购,2.45,2015/4/22 0:00,0.0847
2015/2/11,50ETF沽2015年4月2.45,认沽,2.45,2015/4/22 0:00,0.1528
2015/2/11,50ETF购2015年6月2.45,认购,2.45,2015/6/24 0:00,0.1358
2015/2/11,50ETF沽2015年6月2.45,认沽,2.45,2015/6/24 0:00,0.1989
2015/2/11,50ETF购2015年9月2.45,认购,2.45,2015/9/23 0:00,0.1925
2015/2/11,50ETF沽2015年9月2.45,认沽,2.45,2015/9/23 0:00,0.239
2015/2/11,50ETF购2015年3月2.40,认购,2.4,2015/3/25 0:00,0.078
2015/2/12,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.2109
2015/2/12,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.169
2015/2/12,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.1323
2015/2/12,50ETF购2015年3月2.35,认购,2.35,2015/3/25 0:00,0.1009
2015/2/12,50ETF沽2015年3月2.20,认沽,2.2,2015/3/25 0:00,0.0224
2015/2/12,50ETF沽2015年3月2.25,认沽,2.25,2015/3/25 0:00,0.032
2015/2/12,50ETF沽2015年3月2.30,认沽,2.3,2015/3/25 0:00,0.0471
2015/2/12,50ETF沽2015年3月2.35,认沽,2.35,2015/3/25 0:00,0.0657
2015/2/12,50ETF沽2015年3月2.40,认沽,2.4,2015/3/25 0:00,0.0888
2015/2/12,50ETF购2015年4月2.20,认购,2.2,2015/4/22 0:00,0.2266
2015/2/12,50ETF购2015年4月2.25,认购,2.25,2015/4/22 0:00,0.1927
2015/2/12,50ETF购2015年4月2.30,认购,2.3,2015/4/22 0:00,0.1569
2015/2/12,50ETF购2015年4月2.35,认购,2.35,2015/4/22 0:00,0.1278
2015/2/12,50ETF购2015年4月2.40,认购,2.4,2015/4/22 0:00,0.1048
2015/2/12,50ETF沽2015年4月2.20,认沽,2.2,2015/4/22 0:00,0.0372
2015/2/12,50ETF沽2015年4月2.25,认沽,2.25,2015/4/22 0:00,0.0506
2015/2/12,50ETF沽2015年4月2.30,认沽,2.3,2015/4/22 0:00,0.0687
2015/2/12,50ETF沽2015年4月2.35,认沽,2.35,2015/4/22 0:00,0.0897
2015/2/12,50ETF沽2015年4月2.40,认沽,2.4,2015/4/22 0:00,0.1139
2015/2/12,50ETF购2015年6月2.20,认购,2.2,2015/6/24 0:00,0.2672
2015/2/12,50ETF购2015年6月2.25,认购,2.25,2015/6/24 0:00,0.2359
2015/2/12,50ETF购2015年6月2.30,认购,2.3,2015/6/24 0:00,0.2059
2015/2/12,50ETF购2015年6月2.35,认购,2.35,2015/6/24 0:00,0.1796
2015/2/12,50ETF购2015年6月2.40,认购,2.4,2015/6/24 0:00,0.1558
2015/2/12,50ETF沽2015年6月2.20,认沽,2.2,2015/6/24 0:00,0.0735
2015/2/12,50ETF沽2015年6月2.25,认沽,2.25,2015/6/24 0:00,0.0912
2015/2/12,50ETF沽2015年6月2.30,认沽,2.3,2015/6/24 0:00,0.111
2015/2/12,50ETF沽2015年6月2.35,认沽,2.35,2015/6/24 0:00,0.134
2015/2/12,50ETF沽2015年6月2.40,认沽,2.4,2015/6/24 0:00,0.1586
2015/2/12,50ETF购2015年9月2.20,认购,2.2,2015/9/23 0:00,0.3177
2015/2/12,50ETF购2015年9月2.25,认购,2.25,2015/9/23 0:00,0.2867
2015/2/12,50ETF购2015年9月2.30,认购,2.3,2015/9/23 0:00,0.2579
2015/2/12,50ETF购2015年9月2.35,认购,2.35,2015/9/23 0:00,0.2352
