确认日期,交易日期,基金代码,基金名称,业务类型,份额,金额,手续费,确认净值,账户名称,交易流水号
2026/6/1,2026/5/31,014330,国联优势产业混合C,申购,11.14,10,0,0.8976,我的基金账户,
2026/6/1,2026/5/31,016600,万家品质生活混合C,申购,4.79,10.89,0,2.2712,我的基金账户,
2026/6/1,2026/5/31,000638,富国富钱包货币A,其他收入,10.01,10.01,0,1,活期宝账户,
2026/6/1,2026/5/30,000891,博时现金宝货币B,其他收入,0.88,0.88,0,1,活期宝账户,
2026/6/2,2026/6/1,005827,易方达蓝筹精选混合,申购,15,30,0,2,我的基金账户,
2026/6/2,2026/6/1,110011,易方达中小盘混合,赎回,5,12.5,0,2.5,我的基金账户,
2026/6/3,2026/6/2,002593,广发医疗保健股票A,申购,8,20,0,2.5,我的基金账户,
2026/6/3,2026/6/2,001718,工银瑞信生态环境行业股票A,现金分红,,1500,0,,我的基金账户,
2026/6/3,2026/6/2,163406,兴全合润分级混合,红利再投资,10,,0,1,我的基金账户,
2026/6/4,2026/6/3,161005,富国天惠成长混合（LOF）A,申购,12,24,0,2,我的基金账户,
2026/6/4,2026/6/3,217022,招商产业债券A,申购,20,20,0,1,我的基金账户,
2026/6/4,2026/6/3,013342,华夏鼎茂债券A,赎回,10,11,0,1.1,我的基金账户,
